image,ground_truth,prediction,CER_score
test001_1.jpg,B9140BCD,BS140BCD,0.1250
test001_2.jpg,B2407UZO,B2407UZO,0.0000
test001_3.jpg,B2842PKM,B2842PKM,0.0000
test002_1.jpg,BG1352AE,THELICENSEPLATENUMBERINTHEIMAGEISBCG13562AE,4.3750
test003_1.jpg,B2634UZF,B2634UZF,0.0000
test003_2.jpg,B1995JVK,SB1995JVK,0.1250
test004_1.jpg,B9062VEH,9062VEH,0.1250
test005_1.jpg,DD8798KM,DD2798KM,0.1250
test006_1.jpg,T1329KC,T1329KC,0.0000
test007_1.jpg,AD8865EE,AD8865,0.2500
test008_1.jpg,DK1157AAB,DK1157AAA,0.1111
test008_2.jpg,AA1997FE,AA1997FE,0.0000
test009_1.jpg,H8518NA,THELICENSEPLATENUMBERVISIBLEINTHEIMAGEISH8518,6.0000
test009_2.jpg,K1649GB,K1649,0.2857
test010_1.jpg,B9416PCN,B9416PCN,0.0000
test010_2.jpg,H1147UY,H1127UY,0.1429
test011_1.jpg,H1691IL,SH1691IL,0.1429
test011_2.jpg,B9374RI,B9371,0.4286
test011_3.jpg,D1204AIG,D1204AIG,0.0000
test012_1.jpg,E1887BA,E1887BA,0.0000
test013_1.jpg,B1439UZP,B139UZP,0.1250
test013_2.jpg,B1128WOS,B1128WOS,0.0000
test014_1.jpg,B1388DFX,THELICENSEPLATENUMBERINTHEIMAGEIS13880B27,4.5000
test015_1.jpg,AD1798BT,AD1798BTS,0.1250
test016_1.jpg,E1517DQ,1517DOE,0.4286
test017_1.jpg,AD8982FS,AD8982FS,0.0000
test018_1.jpg,L7603UA,7603,0.4286
test019_1.jpg,AD7HS,AD7HS26,0.4000
test019_2.jpg,B1959WYK,B1959WYK,0.0000
test020_1.jpg,AG8634EK,AC868832,0.7500
test020_2.jpg,AD1329PY,AD13328PY0228,0.7500
test021_1.jpg,BA1709DW,1709DW,0.2500
test021_2.jpg,W1236VZ,1236VZ1028,0.7143
test022_1.jpg,W1825OZ,18250Z27,0.5714
test022_2.jpg,L1202UE,L1202,0.2857
test022_3.jpg,L3823IB,382310D,0.5714
test023_1.jpg,B1730JLO,1730JL0,0.2500
test024_1.jpg,B2964TRU,B2964TRU,0.0000
test025_1.jpg,S5585LP,5585,0.4286
test025_2.jpg,L2858RR,SL285BRR,0.2857
